stock,bargainPrice.priceNow,bargainPrice.priceWas,markdown.markdownPercentage,product.title,product.brand,timestamp
1,4.43,7.39,40,AH Culi's gesneden verspakket tajine en kip,AH,2026-01-24 10:43:52
1,4.43,7.39,40,AH Culi's groene curry limoenkip verspakket,AH,2026-01-24 10:43:52
7,1.04,1.39,25,AH Rucola slamelange,AH,2026-01-24 10:43:52
6,0.94,1.25,25,AH Mini krieltjes,AH,2026-01-24 10:43:52
6,0.97,1.29,25,AH Fijne soepgroente,AH,2026-01-24 10:43:52
5,1.42,1.89,25,AH Bami groente,AH,2026-01-24 10:43:52
4,1.19,1.59,25,AH Eikenblad slamelange,AH,2026-01-24 10:43:52
3,1.49,1.99,25,AH Roerbakgroente Italiaans kleinverpakking,AH,2026-01-24 10:43:52
3,1.79,2.39,25,AH Wokgroente Chinees,AH,2026-01-24 10:43:52
2,1.04,1.39,25,AH Jonge bladsla veldsla kleinverpakking,AH,2026-01-24 10:43:52
2,0.89,1.19,25,AH Krieltjes,AH,2026-01-24 10:43:52
2,1.42,1.89,25,AH Macaroni spaghetti groente,AH,2026-01-24 10:43:52
2,1.87,2.49,25,AH Rauwkost paprika,AH,2026-01-24 10:43:52
2,4.12,5.49,25,AH Lasagne verspakket,AH,2026-01-24 10:43:52
1,1.04,1.39,25,Discover Fresh Tuinkers,Discover Fresh,2026-01-24 10:43:52
1,2.62,3.49,25,AH Iets kruimige aardappel,AH,2026-01-24 10:43:52
1,5.24,6.99,25,AH Gesneden verspakket yakisoba,AH,2026-01-24 10:43:52
1,5.24,6.99,25,AH Gesneden verspakket roerbaknoodles sesam,AH,2026-01-24 10:43:52
1,3.14,5.19,25,AH Ovenschotel prei-kerrie verspakket,AH,2026-01-24 10:43:52
1,1.27,1.69,25,AH Nasi bami groente kleinverpakking,AH,2026-01-24 10:43:52
1,1.55,2.59,25,AH Eikenblad slamelange grootverpakking,AH,2026-01-24 10:43:52
1,0.74,0.99,25,AH Fijngesneden ijsbergsla,AH,2026-01-24 10:43:52
1,2.99,3.99,25,AH Oven & airfryer courgette rode paprika,AH,2026-01-24 10:43:52
1,0.89,1.19,25,AH Tijm,AH,2026-01-24 10:43:52
1,4.12,5.49,25,AH Kip piri piri verspakket,AH,2026-01-24 10:43:52
1,0.89,1.19,25,AH Rozemarijn,AH,2026-01-24 10:43:52
1,1.49,1.99,25,AH Biologisch Platte peterselie pot,AH Biologisch,2026-01-24 10:43:52
4,1.49,2.75,25,AH Rode druiven pitloos,AH,2026-01-24 10:43:52
3,1.87,2.49,25,AH Verse mango,AH,2026-01-24 10:43:52
3,2.47,3.29,25,AH Sable pitloze blauwe druiven,AH,2026-01-24 10:43:52
3,1.64,2.19,25,AH Witte druiven pitloos,AH,2026-01-24 10:43:52
1,1.87,2.49,25,"AH Ananas, papaja, mango",AH,2026-01-24 10:43:52
1,1.94,2.59,25,AH Vers geperste smoothie aardbei banaan,AH,2026-01-24 10:43:52
1,2.81,3.75,25,AH Mango,AH,2026-01-24 10:43:52
2,2.99,3.99,25,AH Salade erbij witlof appel,AH,2026-01-24 10:43:52
1,2.62,3.49,25,AH Kleine salade couscous hummus,AH,2026-01-24 10:43:52
1,3.37,4.49,25,AH Terra Pureersoep broccoli spinazie,AH Terra,2026-01-24 10:43:52
1,4.87,6.49,25,AH Verse maaltijd pappardelle bolognese,AH,2026-01-24 10:43:52
1,4.87,6.49,25,AH Verse maaltijd groene curry,AH,2026-01-24 10:43:52
1,3.37,4.49,25,AH Terra Verse pureersoep tomaat oregano,AH Terra,2026-01-24 10:43:52
1,5.24,6.99,25,AH Stoomsoep tom kha kai,AH,2026-01-24 10:43:52
1,2.63,3.5,25,AH Sandwich tonijnsalade,AH,2026-01-24 10:43:52
1,4.19,5.59,25,AH Verse stamppot witlof ham kaas,AH,2026-01-24 10:43:52
1,3.19,4.25,25,AH Wrap caesar kip bacon,AH,2026-01-24 10:43:52
